WAAREEINDO,394.0,392.03,397.94,2.0,0.0088,2.39,0.0051,63.3,390.26,95.79,2026-06-15,09:59,OPEN
WAKEFIT,125.0,124.38,126.25,2.0,0.0039,2.08,0.0073,51.0,122.25,85.66,2026-06-15,09:59,OPEN
WHIRLPOOL,796.8,792.82,804.77,2.0,0.0039,1.76,0.0048,68.0,792.75,79.75,2026-06-15,09:59,OPEN
AEROFLEX,484.55,482.13,489.4,2.0,0.0211,4.94,0.0291,69.3,471.13,100,2026-06-15,10:25,OPEN
AMANTA,157.8,157.01,159.38,2.0,0.009,2.89,0.0058,68.7,156.42,100,2026-06-15,10:25,OPEN
APARINDS,16160.0,16079.2,16321.6,2.0,0.0117,2.26,0.0176,71.7,15969.46,93.83,2026-06-15,10:25,OPEN
BIRLANU,1399.0,1392.0,1412.99,2.0,0.0089,5.82,0.0108,70.2,1386.18,100,2026-06-15,10:26,OPEN
CENTURYPLY,757.7,753.91,765.28,2.0,0.0071,3.05,0.007,73.5,750.36,100,2026-06-15,10:26,OPEN
CGCL,215.4,214.32,217.55,2.0,0.0076,4.48,0.0075,66.2,213.46,100,2026-06-15,10:26,OPEN
CNL,729.75,726.1,737.05,2.0,0.0055,9.81,0.0052,51.2,722.36,100,2026-06-15,10:27,OPEN
COMSYN,172.0,171.14,173.72,2.0,0.0106,5.02,0.0058,59.6,170.28,100,2026-06-15,10:27,OPEN
CONCOR,460.75,458.45,465.36,2.0,0.0024,2.58,0.005,50.8,459.93,85.6,2026-06-15,10:27,OPEN
CYIENT,901.0,896.5,910.01,2.0,0.0043,4.5,0.0039,62.5,893.25,91.18,2026-06-15,10:27,OPEN
DEEPINDS,506.6,504.07,511.67,2.0,0.0065,2.53,0.0098,62.4,499.63,97.92,2026-06-15,10:27,OPEN
EKC,112.9,112.34,114.03,2.0,0.0067,5.78,0.0066,65.4,112.22,100,2026-06-15,10:27,OPEN
EPACKPEB,257.0,255.72,259.57,2.0,0.0175,4.13,0.0202,72.1,252.73,100,2026-06-15,10:28,OPEN
GALAXYSURF,1764.0,1755.18,1781.64,2.0,0.0089,3.84,0.0115,71.2,1752.33,100,2026-06-15,10:28,OPEN
GMBREW,916.45,911.87,925.61,2.0,0.0025,2.77,0.0033,50.2,913.19,78.74,2026-06-15,10:28,OPEN
GRINDWELL,2040.0,2029.8,2060.4,2.0,0.0109,3.8,0.0096,73.0,2005.15,100,2026-06-15,10:28,OPEN
GROWW,207.9,206.86,209.98,2.0,0.004,1.95,0.0035,69.0,205.07,76.77,2026-06-15,10:28,OPEN
ICICIGI,1741.8,1733.09,1759.22,2.0,0.0026,2.76,0.0058,60.3,1733.67,87.95,2026-06-15,10:29,OPEN
INDSWFTLAB,162.35,161.54,163.97,2.0,0.0075,2.85,0.0083,68.8,161.27,100,2026-06-15,10:29,OPEN
KKCL,462.8,460.49,467.43,2.0,0.0048,2.16,0.003,53.4,453.15,81.51,2026-06-15,10:30,OPEN
LANDMARK,425.05,422.92,429.3,2.0,0.0021,2.2,0.0078,51.2,425.14,78.35,2026-06-15,10:30,OPEN
MANALIPETC,68.55,68.21,69.24,2.0,0.006,5.64,0.0054,66.5,67.07,100,2026-06-15,10:31,OPEN
NIBE,1650.0,1641.75,1666.5,2.0,0.0057,2.66,0.0097,73.2,1629.96,99.93,2026-06-15,10:31,OPEN
PHOENIXLTD,1860.8,1851.5,1879.41,2.0,0.0073,2.45,0.0094,68.3,1835.7,96.82,2026-06-15,10:32,OPEN
RELIABLE,155.99,155.21,157.55,2.0,0.0075,1.62,0.0078,52.9,152.97,84.28,2026-06-15,10:32,OPEN
RGL,106.9,106.37,107.97,2.0,0.0179,1.84,0.0224,68.6,105.55,87.62,2026-06-15,10:33,OPEN
SBILIFE,1765.0,1756.17,1782.65,2.0,0.0047,1.58,0.0035,72.7,1748.49,75.05,2026-06-15,10:33,OPEN
SCODATUBES,131.95,131.29,133.27,2.0,0.0037,1.96,0.0055,52.6,129.5,83.07,2026-06-15,10:33,OPEN
STEELCITY,77.53,77.14,78.31,2.0,0.0076,3.55,0.0069,54.0,76.7,100,2026-06-15,10:34,OPEN
TATACAP,341.5,339.79,344.92,2.0,0.0045,1.58,0.0034,72.7,338.58,73.12,2026-06-15,10:34,OPEN
UFO,74.3,73.93,75.04,2.0,0.0059,1.9,0.0034,62.4,73.78,80.41,2026-06-15,10:35,OPEN
VERANDA,243.2,241.98,245.63,2.0,0.0101,1.72,0.013,64.4,238.8,85.8,2026-06-15,10:35,OPEN
BIL,708.0,704.46,715.08,2.0,0.0035,11.2,0.0085,56.2,703.62,92.27,2026-06-15,15:01,OPEN
LINC,100.46,99.96,101.46,2.0,0.0051,13.45,0.0046,54.2,100.1,98.0,2026-06-15,15:07,OPEN
AMBER,7861.5,7822.19,7940.11,2.0,0.009,4.6,0.0117,74.8,7751.66,100,2026-06-16,09:12,OPEN
ASHIANA,387.7,385.76,391.58,2.0,0.0043,2.07,0.0044,59.3,383.8,84.87,2026-06-16,09:13,OPEN
ASHOKA,132.57,131.91,133.9,2.0,0.0027,3.83,0.0041,65.0,132.47,83.74,2026-06-16,09:13,OPEN
BEDMUTHA,109.49,108.94,110.58,2.0,0.0233,9.03,0.0239,61.1,106.88,100,2026-06-16,09:13,OPEN
BLUEJET,510.9,508.35,516.01,2.0,0.0042,5.44,0.0033,66.8,507.6,87.91,2026-06-16,09:14,OPEN
COROMANDEL,2062.2,2051.89,2082.82,2.0,0.0039,1.55,0.0053,63.5,2040.59,77.77,2026-06-16,09:14,OPEN
CPEDU,181.49,180.58,183.3,2.0,0.0181,,0.0196,64.1,178.15,,2026-06-16,09:15,OPEN
HBLENGINE,799.4,795.4,807.39,2.0,0.005,1.63,0.0065,64.4,796.26,84.37,2026-06-16,09:17,OPEN
JTLIND,78.03,77.64,78.81,2.0,0.0128,3.39,0.0092,73.3,77.01,100,2026-06-16,09:18,OPEN
KOLTEPATIL,369.2,367.35,372.89,2.0,0.0115,8.68,0.0144,71.8,365.51,100,2026-06-16,09:19,OPEN
NITIRAJ,196.99,196.01,198.96,2.0,0.0048,,0.0128,58.1,196.0,,2026-06-16,09:21,OPEN
ORBTEXP,229.26,228.11,231.55,2.0,0.0329,2.05,0.0523,50.0,222.47,90.75,2026-06-16,09:21,OPEN
PYRAMID,170.0,169.15,171.7,2.0,0.0153,3.45,0.0119,62.2,167.42,100,2026-06-16,09:22,OPEN
RHL,179.95,179.05,181.75,2.0,0.0084,,0.0054,73.6,178.02,,2026-06-16,09:22,OPEN
SKIPPER,555.85,553.07,561.41,2.0,0.0044,1.72,0.0052,60.3,554.51,82.67,2026-06-16,09:24,OPEN
STOVEKRAFT,662.95,659.64,669.58,2.0,0.0095,6.47,0.0105,68.4,653.95,100,2026-06-16,09:24,OPEN
AHLUCONT,840.0,835.8,848.4,2.0,0.0064,5.35,0.007,66.6,832.61,100,2026-06-16,09:28,OPEN
GOKULAGRO,222.45,221.34,224.67,2.0,0.0066,5.64,0.0065,65.7,221.62,100,2026-06-16,09:32,OPEN
GRAPHITE,655.75,652.47,662.31,2.0,0.0033,1.61,0.005,60.3,654.89,75.3,2026-06-16,09:32,OPEN
MANAKCOAT,111.87,111.31,112.99,2.0,0.0116,3.93,0.008,65.7,109.67,100,2026-06-16,09:34,OPEN
NITINSPIN,551.7,548.94,557.22,2.0,0.0047,3.73,0.0047,62.3,549.58,97.23,2026-06-16,09:35,OPEN
NRAIL,450.55,448.3,455.06,2.0,0.0075,,0.0148,54.1,446.99,,2026-06-16,09:35,OPEN
RSL,131.0,130.34,132.31,2.0,0.0038,2.12,0.0068,64.1,130.64,85.59,2026-06-16,09:36,OPEN
SAPPL,279.0,277.61,281.79,2.0,0.0365,,0.041,64.8,267.71,,2026-06-16,09:37,OPEN
SOLEX,1121.1,1115.49,1132.31,2.0,0.0034,3.21,0.0031,68.4,1110.86,82.67,2026-06-16,09:37,OPEN
STARPAPER,138.4,137.71,139.78,2.0,0.0065,,0.0087,67.4,137.24,,2026-06-16,09:37,OPEN
SWANCORP,316.95,315.37,320.12,2.0,0.0057,1.62,0.0044,70.8,316.01,81.5,2026-06-16,09:38,OPEN
THOMASCOOK,107.97,107.43,109.05,2.0,0.0063,2.8,0.0047,71.8,107.94,98.73,2026-06-16,09:38,OPEN
TRIVENI,397.5,395.51,401.48,2.0,0.0047,1.52,0.0054,68.0,395.16,81.38,2026-06-16,09:38,OPEN
UNIPARTS,671.75,668.39,678.47,2.0,0.0073,1.96,0.0049,66.7,663.3,89.12,2026-06-16,09:38,OPEN
VIYASH,247.75,246.51,250.23,2.0,0.0062,1.69,0.0053,63.6,246.4,85.3,2026-06-16,09:39,OPEN
WHEELS,1599.5,1591.5,1615.5,2.0,0.0032,3.63,0.0058,53.5,1598.78,90.99,2026-06-16,09:39,OPEN
AARON,125.0,124.38,126.25,2.0,0.0113,4.84,0.0081,63.9,123.5,100,2026-06-16,13:25,OPEN
ADSL,122.54,121.93,123.77,2.0,0.0103,4.16,0.0076,63.3,121.88,100,2026-06-16,13:25,OPEN
AKSHARCHEM,215.0,213.93,217.15,2.0,0.0201,4.49,0.0277,74.4,211.28,100,2026-06-16,13:25,OPEN
ANDHRSUGAR,83.95,83.53,84.79,2.0,0.007,3.96,0.0085,67.5,83.43,100,2026-06-16,13:25,OPEN
ASTEC,793.0,789.03,800.93,2.0,0.0054,5.38,0.0037,56.6,784.91,93.67,2026-06-16,13:26,OPEN
ATAM,72.12,71.76,72.84,2.0,0.0074,2.97,0.0038,52.9,71.59,93.79,2026-06-16,13:26,OPEN
BALMLAWRIE,182.7,181.79,184.53,2.0,0.0077,2.91,0.0058,58.8,180.88,100,2026-06-16,13:26,OPEN
BLKASHYAP,54.69,54.42,55.24,2.0,0.0082,3.24,0.0113,64.6,54.21,100,2026-06-16,13:26,OPEN
CANTABIL,220.99,219.89,223.2,2.0,0.0035,4.66,0.0045,68.8,220.59,89.77,2026-06-16,13:27,OPEN
CAPACITE,238.7,237.51,241.09,2.0,0.0055,4.34,0.007,51.1,236.66,100,2026-06-16,13:27,OPEN
CEINSYS,951.1,946.34,960.61,2.0,0.0045,6.62,0.0045,52.6,943.2,94.7,2026-06-16,13:27,OPEN
CHEMPLASTS,204.73,203.71,206.78,2.0,0.0049,1.86,0.0036,69.7,204.91,80.54,2026-06-16,13:27,OPEN
CLEAN,784.1,780.18,791.94,2.0,0.0038,1.95,0.0042,68.4,778.51,79.18,2026-06-16,13:27,OPEN
CLEANMAX,1298.8,1292.31,1311.79,2.0,0.0025,3.96,0.0036,60.3,1292.47,80.64,2026-06-16,13:27,OPEN
CORONA,1750.6,1741.85,1768.11,2.0,0.0039,2.31,0.0032,58.8,1744.6,80.42,2026-06-16,13:27,OPEN
DOLATALGO,76.95,76.57,77.72,2.0,0.0118,2.03,0.015,62.3,75.99,90.41,2026-06-16,13:28,OPEN
DOMS,2322.3,2310.69,2345.52,2.0,0.0026,2.75,0.0052,51.7,2302.94,87.79,2026-06-16,13:28,OPEN
EMIL,112.0,111.44,113.12,2.0,0.0051,3.44,0.0063,63.8,110.84,100,2026-06-16,13:28,OPEN
GEMAROMA,190.61,189.66,192.52,2.0,0.0084,2.09,0.0132,60.6,188.27,91.34,2026-06-16,13:29,OPEN
GMRP&UI,105.8,105.27,106.86,2.0,0.0039,3.2,0.0034,58.7,105.55,86.41,2026-06-16,13:29,OPEN
GRSE,2669.9,2656.55,2696.6,2.0,0.0042,5.49,0.0033,69.2,2659.51,87.75,2026-06-16,13:29,OPEN
HINDCOPPER,513.0,510.44,518.13,2.0,0.0042,2.06,0.0035,62.3,510.95,79.32,2026-06-16,13:29,OPEN
INFOBEAN,171.48,170.62,173.19,2.0,0.0028,3.57,0.0041,50.2,171.17,84.74,2026-06-16,13:30,OPEN
ITDC,620.0,616.9,626.2,2.0,0.004,1.86,0.0036,52.7,615.96,75.88,2026-06-16,13:30,OPEN
JAYKAY,174.1,173.23,175.84,2.0,0.011,6.03,0.0139,72.1,172.26,100,2026-06-16,13:30,OPEN
JTEKTINDIA,133.6,132.93,134.94,2.0,0.0059,3.81,0.0096,68.6,134.08,90,2026-06-16,13:31,OPEN
KHADIM,108.91,108.37,110.0,2.0,0.0132,2.57,0.0175,59.6,106.98,98.51,2026-06-16,13:31,OPEN
KINGFA,5108.5,5082.96,5159.59,2.0,0.0059,3.67,0.007,63.7,5067.76,100,2026-06-16,13:31,OPEN
KOTHARIPET,123.9,123.28,125.14,2.0,0.0044,2.26,0.0032,57.9,123.25,81.93,2026-06-16,13:31,OPEN
KRONOX,154.7,153.93,156.25,2.0,0.0114,2.48,0.0059,65.0,150.48,97.15,2026-06-16,13:31,OPEN
LOTUSEYE,140.5,139.8,141.91,2.0,0.0118,2.75,0.0122,65.4,138.65,100,2026-06-16,13:31,OPEN
MAHEPC,115.8,115.22,116.96,2.0,0.0079,3.63,0.0092,66.0,114.48,100,2026-06-16,13:32,OPEN
MARATHON,412.0,409.94,416.12,2.0,0.0057,2.87,0.0086,56.0,407.96,100,2026-06-16,13:32,OPEN
MIDWESTLTD,1293.0,1286.54,1305.93,2.0,0.0068,4.38,0.0059,65.7,1287.42,100,2026-06-16,13:32,OPEN
MOTILALOFS,946.55,941.82,956.02,2.0,0.0072,2.63,0.004,73.7,939.5,94.3,2026-06-16,13:32,OPEN
MPSLTD,1827.9,1818.76,1846.18,2.0,0.0028,5.04,0.0038,55.3,1821.24,83.13,2026-06-16,13:32,OPEN
NETWEB,4884.4,4859.98,4933.24,2.0,0.0043,1.84,0.0048,63.6,4806.43,83.0,2026-06-16,13:33,OPEN
NEWGEN,479.0,476.61,483.79,2.0,0.002,3.3,0.0044,53.5,478.22,82.19,2026-06-16,13:33,OPEN
PARACABLES,67.1,66.76,67.77,2.0,0.0123,3.53,0.0064,69.7,66.32,100,2026-06-16,13:33,OPEN
PLATIND,234.0,232.83,236.34,2.0,0.0089,2.33,0.0074,74.2,230.7,94.88,2026-06-16,13:33,OPEN
PNBGILTS,89.5,89.05,90.39,2.0,0.0038,1.82,0.0031,58.9,89.16,71.92,2026-06-16,13:33,OPEN
PNBHOUSING,1020.1,1015.0,1030.3,2.0,0.0039,6.78,0.003,60.6,1017.93,84.57,2026-06-16,13:33,OPEN
PRECWIRE,424.8,422.68,429.05,2.0,0.0114,2.99,0.0057,71.7,419.77,100,2026-06-16,13:34,OPEN
PREMEXPLN,743.0,739.28,750.43,2.0,0.0155,3.07,0.0192,70.1,726.44,100,2026-06-16,13:34,OPEN
PRINCEPIPE,287.5,286.06,290.38,2.0,0.0103,6.75,0.0121,62.8,285.69,100,2026-06-16,13:34,OPEN
SANOFI,3324.9,3308.28,3358.15,2.0,0.0046,2.53,0.0064,63.4,3295.02,96.01,2026-06-16,13:35,OPEN
SANOFICONR,4771.3,4747.44,4819.01,2.0,0.0046,2.59,0.0046,50.8,4742.78,94.8,2026-06-16,13:35,OPEN
SAPPHIRE,182.0,181.09,183.82,2.0,0.0089,1.98,0.01,71.4,181.24,89.7,2026-06-16,13:35,OPEN
SFL,709.0,705.46,716.09,2.0,0.0076,2.1,0.0079,74.1,704.74,91.43,2026-06-16,13:35,OPEN
SHANTIGEAR,454.0,451.73,458.54,2.0,0.002,2.52,0.0089,54.9,452.22,82.88,2026-06-16,13:35,OPEN
SHK,144.1,143.38,145.54,2.0,0.0086,2.79,0.0073,64.0,140.79,100,2026-06-16,13:35,OPEN
SIYSIL,630.0,626.85,636.3,2.0,0.0057,1.54,0.0052,64.9,627.01,83.16,2026-06-16,13:35,OPEN
SKFINDUS,2505.0,2492.47,2530.05,2.0,0.0062,3.83,0.0051,59.3,2487.42,100,2026-06-16,13:35,OPEN
SOBHA,1397.0,1390.02,1410.97,2.0,0.0022,2.01,0.0032,57.9,1391.81,67.49,2026-06-16,13:35,OPEN
SONAMLTD,55.46,55.18,56.01,2.0,0.0084,3.92,0.0064,54.1,55.38,100,2026-06-16,13:35,OPEN
SPECIALITY,108.65,108.11,109.74,2.0,0.0032,1.84,0.0038,61.9,108.55,72.66,2026-06-16,13:35,OPEN
SPORTKING,181.97,181.06,183.79,2.0,0.0087,4.12,0.0067,72.6,180.19,100,2026-06-16,13:36,OPEN
SSDL,57.83,57.54,58.41,2.0,0.0072,7.22,0.0064,66.4,57.45,100,2026-06-16,13:36,OPEN
STARCEMENT,214.66,213.59,216.81,2.0,0.0051,2.07,0.0048,58.8,213.29,90.14,2026-06-16,13:36,OPEN
STEELCITY,78.49,78.1,79.27,2.0,0.0055,6.31,0.0064,52.8,77.74,100,2026-06-16,13:36,OPEN
SUNTECK,313.5,311.93,316.63,2.0,0.0051,1.8,0.0032,61.8,310.92,77.96,2026-06-16,13:36,OPEN
SUVEN,270.9,269.55,273.61,2.0,0.0049,4.38,0.0033,64.5,267.76,91.29,2026-06-16,13:36,OPEN
TVSELECT,462.9,460.59,467.53,2.0,0.0061,6.0,0.0058,65.6,462.11,100,2026-06-16,13:37,OPEN
VIKRAN,71.2,70.84,71.91,2.0,0.0036,1.75,0.0042,50.0,70.61,75.24,2026-06-16,13:37,OPEN
VSSL,286.0,284.57,288.86,2.0,0.0069,1.92,0.0072,57.1,284.42,88.81,2026-06-16,13:37,OPEN
WINDLAS,829.15,825.0,837.44,2.0,0.0058,2.03,0.0039,65.8,820.69,84.84,2026-06-16,13:37,OPEN
WOCKPHARMA,1926.0,1916.37,1945.26,2.0,0.0058,2.18,0.0071,70.5,1920.36,92.73,2026-06-16,13:38,OPEN
ZENTEC,1860.0,1850.7,1878.6,2.0,0.0081,2.82,0.0092,65.7,1832.67,100,2026-06-16,13:38,OPEN
AKSHARCHEM,216.35,215.27,218.51,2.0,0.0144,3.87,0.011,54.3,213.44,100,2026-06-17,08:50,OPEN
APCL,114.8,114.23,115.95,2.0,0.0052,,0.014,58.7,113.85,,2026-06-17,08:51,OPEN
BENGALASM,6461.5,6429.19,6526.11,2.0,0.0066,,0.0085,55.1,6411.58,,2026-06-17,08:51,OPEN
CAMS,808.4,804.36,816.48,2.0,0.0031,2.61,0.0036,52.6,802.69,82.82,2026-06-17,08:52,OPEN
DREDGECORP,1164.6,1158.78,1176.25,2.0,0.0098,1.85,0.0132,69.6,1144.8,87.76,2026-06-17,08:53,OPEN
JINDALPHOT,1123.3,1117.68,1134.53,2.0,0.0039,10.56,0.0033,50.0,1116.89,85.99,2026-06-17,08:55,OPEN
KKCL,488.3,485.86,493.18,2.0,0.0074,4.83,0.0047,57.5,483.63,98.66,2026-06-17,08:56,OPEN
PRECWIRE,426.95,424.82,431.22,2.0,0.0042,3.37,0.0053,66.4,424.38,95.8,2026-06-17,08:58,OPEN
RELTD,146.1,145.37,147.56,2.0,0.0081,4.91,0.0051,58.5,144.97,100,2026-06-17,08:59,OPEN
RHL,187.85,186.91,189.73,2.0,0.0129,,0.0099,62.1,186.86,,2026-06-17,08:59,OPEN
SDBL,79.09,78.69,79.88,2.0,0.0089,2.47,0.0114,72.5,78.24,96.98,2026-06-17,08:59,OPEN
SHALBY,172.17,171.31,173.89,2.0,0.0026,5.5,0.0043,65.4,172.35,84.15,2026-06-17,08:59,OPEN
SIEMENS,3693.1,3674.63,3730.03,2.0,0.0037,1.67,0.0041,61.2,3667.82,74.0,2026-06-17,08:59,OPEN
AEROENTER,114.27,113.7,115.41,2.0,0.0072,3.36,0.0045,59.1,111.98,97.42,2026-06-17,09:03,OPEN
AEROFLEX,499.55,497.05,504.55,2.0,0.0157,8.58,0.0187,68.2,485.79,100,2026-06-17,09:03,OPEN
BEL,415.45,413.37,419.6,2.0,0.0028,1.9,0.0035,55.5,412.26,70.0,2026-06-17,09:05,OPEN
DELTAMAGNT,63.0,62.69,63.63,2.0,0.0258,5.43,0.0436,60.0,61.13,100,2026-06-17,09:06,OPEN
GOLDIAM,495.0,492.52,499.95,2.0,0.0129,6.08,0.0153,70.4,489.41,100,2026-06-17,09:07,OPEN
JSWINFRA,300.55,299.05,303.56,2.0,0.0074,3.3,0.0077,72.5,297.67,100,2026-06-17,09:08,OPEN
KISSHT,279.25,277.85,282.04,2.0,0.0056,1.52,0.0081,64.9,276.62,82.77,2026-06-17,09:09,OPEN
MADRASFERT,72.7,72.34,73.43,2.0,0.0107,3.39,0.0118,70.3,71.94,100,2026-06-17,09:09,OPEN
MODIRUBBER,128.5,127.86,129.78,2.0,0.0058,,0.0134,51.4,127.48,,2026-06-17,09:10,OPEN
SHBAJRG,197.7,196.71,199.68,2.0,0.0203,,0.0274,57.7,193.0,,2026-06-17,09:12,OPEN
TAMBOLIIN,185.99,185.06,187.85,2.0,0.0084,,0.0054,60.6,184.77,,2026-06-17,09:13,OPEN
TDPOWERSYS,1235.2,1229.02,1247.55,2.0,0.0061,1.72,0.0059,71.6,1213.44,85.83,2026-06-17,09:13,OPEN
ASTRAMICRO,1590.3,1582.35,1606.2,2.0,0.0119,2.23,0.0149,70.7,1556.68,93.4,2026-06-17,12:48,OPEN
AUTOAXLES,1803.9,1794.88,1821.94,2.0,0.0068,5.15,0.0035,62.1,1796.59,92.52,2026-06-17,12:48,OPEN
BIRLAMONEY,144.86,144.14,146.31,2.0,0.0049,2.01,0.0058,53.3,141.97,89.7,2026-06-17,12:48,OPEN
BLISSGVS,477.0,474.62,481.77,2.0,0.0079,2.31,0.0061,70.8,469.71,94.71,2026-06-17,12:48,OPEN
CEATLTD,3503.1,3485.58,3538.13,2.0,0.0062,5.0,0.0052,73.8,3467.83,100,2026-06-17,12:49,OPEN
CEMPRO,1187.0,1181.07,1198.87,2.0,0.0076,3.14,0.0094,64.3,1173.98,100,2026-06-17,12:49,OPEN
CENTURYPLY,765.0,761.17,772.65,2.0,0.0052,11.4,0.008,69.7,759.84,100,2026-06-17,12:49,OPEN
CEWATER,326.5,324.87,329.76,2.0,0.0064,3.37,0.0066,71.9,319.38,100,2026-06-17,12:49,OPEN
CYBERTECH,154.0,153.23,155.54,2.0,0.0249,7.8,0.0132,70.3,148.99,100,2026-06-17,12:49,OPEN
EMSLIMITED,344.0,342.28,347.44,2.0,0.0113,1.65,0.0127,69.9,341.6,84.73,2026-06-17,12:50,OPEN
EUREKAFORB,467.0,464.67,471.67,2.0,0.0073,1.52,0.0059,65.0,462.13,82.77,2026-06-17,12:50,OPEN
GLOBALVECT,162.0,161.19,163.62,2.0,0.0065,4.47,0.0048,60.6,160.84,99.19,2026-06-17,12:50,OPEN
GRAPHITE,664.65,661.33,671.3,2.0,0.0082,2.79,0.0041,74.9,659.65,95.39,2026-06-17,12:50,OPEN
HOMEFIRST,1150.5,1144.75,1162.01,2.0,0.0061,6.21,0.0084,59.8,1141.75,100,2026-06-17,12:51,OPEN
JAYKAY,180.88,179.98,182.69,2.0,0.0116,3.31,0.0076,56.2,177.37,100,2026-06-17,12:52,OPEN
JUSTDIAL,551.25,548.49,556.76,2.0,0.0038,3.5,0.0041,62.1,547.94,89.58,2026-06-17,12:52,OPEN
KINGFA,5134.0,5108.33,5185.34,2.0,0.0041,2.54,0.0033,67.7,5118.18,85.24,2026-06-17,12:52,OPEN
KRISHNADEF,1333.0,1326.34,1346.33,2.0,0.0295,6.31,0.0331,68.5,1285.73,100,2026-06-17,12:52,OPEN
KRONOX,158.99,158.2,160.58,2.0,0.011,3.48,0.0113,68.7,157.26,100,2026-06-17,12:52,OPEN
KSCL,863.0,858.68,871.63,2.0,0.0031,3.24,0.0035,63.3,857.83,82.83,2026-06-17,12:52,OPEN
LUPIN,2275.0,2263.62,2297.75,2.0,0.005,4.53,0.004,72.5,2267.44,94.64,2026-06-17,12:53,OPEN
MARINE,266.0,264.67,268.66,2.0,0.0047,2.26,0.0045,65.3,263.36,90.14,2026-06-17,12:53,OPEN
NITINSPIN,552.0,549.24,557.52,2.0,0.0102,7.22,0.0079,72.0,546.98,100,2026-06-17,12:54,OPEN
NITTAGELA,1588.0,1580.06,1603.88,2.0,0.0295,1.95,0.0276,71.0,1519.74,89.22,2026-06-17,12:54,OPEN
PDSL,338.0,336.31,341.38,2.0,0.0022,5.97,0.0033,63.5,336.74,77.2,2026-06-17,12:54,OPEN
PGHL,6249.5,6218.25,6311.99,2.0,0.0022,1.85,0.0033,70.5,6234.96,65.49,2026-06-17,12:54,OPEN
POWERICA,533.9,531.23,539.24,2.0,0.0084,4.52,0.0078,64.4,526.06,100,2026-06-17,12:54,OPEN
RANEHOLDIN,1617.0,1608.91,1633.17,2.0,0.0059,3.21,0.0092,71.7,1596.8,100,2026-06-17,12:55,OPEN
RAYMOND,594.0,591.03,599.94,2.0,0.0077,4.22,0.0081,69.7,590.12,100,2026-06-17,12:55,OPEN
RVNL,245.6,244.37,248.06,2.0,0.0037,2.71,0.0033,63.8,243.7,85.32,2026-06-17,12:55,OPEN
SHILPAMED,575.0,572.12,580.75,2.0,0.0065,2.99,0.0105,61.6,568.76,100,2026-06-17,12:56,OPEN
SONAMLTD,55.23,54.95,55.78,2.0,0.0047,3.71,0.009,59.6,54.88,98.36,2026-06-17,12:56,OPEN
STEELCITY,78.64,78.25,79.43,2.0,0.0031,1.98,0.0141,50.9,78.64,80.22,2026-06-17,12:56,OPEN
STYRENIX,2228.7,2217.56,2250.99,2.0,0.0044,2.09,0.0035,54.4,2212.53,81.03,2026-06-17,12:56,OPEN
SUNTECK,318.0,316.41,321.18,2.0,0.0078,1.91,0.0081,68.8,315.26,88.58,2026-06-17,12:56,OPEN
TAJGVK,333.9,332.23,337.24,2.0,0.0034,1.89,0.0035,68.5,332.7,72.45,2026-06-17,12:57,OPEN
TVSELECT,488.0,485.56,492.88,2.0,0.0114,2.21,0.0104,58.8,481.31,93.13,2026-06-17,12:57,OPEN
UFO,76.5,76.12,77.27,2.0,0.0155,2.46,0.0186,64.9,75.28,96.95,2026-06-17,12:57,OPEN
UNIVCABLES,1244.0,1237.78,1256.44,2.0,0.0063,3.52,0.0047,65.5,1225.63,98.42,2026-06-17,12:57,OPEN
VEEDOL,1468.9,1461.56,1483.59,2.0,0.0029,2.98,0.0042,63.5,1463.0,85.11,2026-06-17,12:57,OPEN
VMART,767.95,764.11,775.63,2.0,0.0079,1.74,0.0061,64.0,752.67,86.07,2026-06-17,12:58,OPEN
WELSPUNLIV,147.4,146.66,148.87,2.0,0.0059,4.09,0.0075,61.2,146.08,100,2026-06-17,12:58,OPEN
AUROPHARMA,1439.9,1432.7,1454.3,2.0,0.0046,2.37,0.0051,73.2,1429.68,93.51,2026-06-18,08:28,OPEN
BEML,1801.0,1791.99,1819.01,2.0,0.0026,3.01,0.004,65.6,1798.79,82.99,2026-06-18,08:28,OPEN
HISARMETAL,163.0,162.19,164.63,2.0,0.023,2.12,0.0183,67.1,158.97,91.86,2026-06-18,08:32,OPEN
KEC,527.1,524.46,532.37,2.0,0.0052,2.19,0.0054,68.0,523.47,92.9,2026-06-18,08:34,OPEN
KNRCON,139.45,138.75,140.84,2.0,0.007,2.37,0.0078,67.4,138.55,95.58,2026-06-18,08:34,OPEN
KPRMILL,1113.55,1107.98,1124.69,2.0,0.0168,1.53,0.0105,69.1,1085.62,82.9,2026-06-18,08:34,OPEN
MMP,272.9,271.54,275.63,2.0,0.0161,4.18,0.0198,75.0,268.26,100,2026-06-18,08:35,OPEN
SAMMAANCAP,174.68,173.81,176.43,2.0,0.0036,2.66,0.0044,69.4,174.1,89.66,2026-06-18,08:38,OPEN
STEELCITY,79.5,79.1,80.3,2.0,0.0123,2.21,0.0109,65.0,78.5,93.22,2026-06-18,08:40,OPEN
APOLSINHOT,1375.0,1368.12,1388.75,2.0,0.0173,2.96,0.0093,68.8,1347.41,100,2026-06-18,08:49,OPEN
HEXATRADEX,163.99,163.17,165.63,2.0,0.0044,,0.0121,64.1,163.41,,2026-06-18,08:52,OPEN
